ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,2.738276,,,,,,,,,,,,,d72ebe11-a01b-4336-abec-da1463f4f35e,1005,,,"[73.6, 42.9]",3893827,24,,,,0.48472178,,Right Foot,,,"[107.4, 60.7]",,High Pass,,38.200523,,,,Danielle van de Donk,10658.0,,,,,,,1,Regular Play,Jackie Groenen,10654.0,Center Defensive Midfield,53,Netherlands Women's,851,['4742a0c8-ca14-49a0-83a2-203341b70c31'],51,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:24:51.767,Pass,
,,,,,,,,,,,,,,0.585899,,,,,,,,,,,,,3ee7f1e5-dff6-416e-9ee2-001cd0bf93e0,1010,,,"[6.0, 36.0]",3893827,25,True,,,0.3618981,,Right Foot,,,"[48.0, 51.9]",,Ground Pass,,44.90891,,,,Thị Vân Dương,401884.0,,,,,,Goal Kick,1,From Goal Kick,Kim Thanh Trần Thị,401880.0,Goalkeeper,54,Vietnam Women's,16769,['abea70a8-57af-4c1f-b036-1c45797cec53'],26,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:25:26.222,Pass,
,,,,,,,,,,,,,,1.39974,,,,,,,,,,,,,5860eafa-d4b0-43f5-941b-fb379947ec26,1016,,,"[91.8, 24.6]",3893827,25,,,,0.14264166,,Right Foot,,,"[110.6, 27.3]",,Ground Pass,,18.992893,,Incomplete,,Jill Roord,10650.0,,,,,,,1,From Goal Kick,Lieke Martens,10649.0,Left Center Forward,54,Vietnam Women's,16769,"['3a284db0-2365-4d77-b3fd-ad8fba8e1f6a', '5465638a-2ae5-4694-a87f-e17f5fad5d6e', '63db88c8-80e9-47a5-8aca-4cbe8ff2e004']",33,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:25:33.335,Pass,True
,,,,,,,,,,,,,,1.30437,,,,,,,,,,,,,5465638a-2ae5-4694-a87f-e17f5fad5d6e,1018,,,"[9.5, 52.8]",3893827,25,,,,0.3172663,,Right Foot,,,"[29.6, 59.4]",,Ground Pass,,21.15585,,,,Hải Yến Phạm,401890.0,,,,,,Recovery,1,From Goal Kick,Thu Thương Lương Thị,401875.0,Right Center Back,54,Vietnam Women's,16769,"['5860eafa-d4b0-43f5-941b-fb379947ec26', '978f80c8-5df0-431e-a1c2-bd38cc51f5fa']",34,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:25:34.735,Pass,
,,,,,,,,,,,,,,0.950056,,,,,,,,,,,,,a4b581b7-8dcb-44c5-942c-96d548e31d75,1021,,,"[28.3, 62.6]",3893827,25,,,,2.2386289,,Right Foot,,,"[22.7, 69.7]",,Ground Pass,,9.042677,,,,Bích Thùy Nguyễn Thị,401878.0,,,,,,,1,From Goal Kick,Hải Yến Phạm,401890.0,Center Forward,54,Vietnam Women's,16769,['0aa77a69-93dd-436d-956e-ad9b4d1d191c'],37,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:25:37.344,Pass,
,,,,,,,,,,,,,,1.639329,,,,,,,,,,,,,48dd7644-52b2-4c22-a853-0814a021f972,1024,,,"[22.7, 69.7]",3893827,25,,,,-0.77859557,,Right Foot,,,"[37.5, 55.1]",,Ground Pass,,20.789421,,,,Thị Vân Dương,401884.0,,,,,,,1,From Goal Kick,Bích Thùy Nguyễn Thị,401878.0,Right Wing,54,Vietnam Women's,16769,['ccbbeacc-37dd-47dc-a776-d06b78075571'],38,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:25:38.334,Pass,
,,,,,,,,,,,,,,1.422774,,,,,,,,,,,,,f0651c04-d60b-4e15-ae81-e47ef5c80da5,1027,,,"[50.8, 58.5]",3893827,25,,,,0.8655183,,Left Foot,,,"[63.4, 73.3]",,Ground Pass,,19.437078,,,,Hải Yến Phạm,401890.0,,,,,,,1,From Goal Kick,Thị Vân Dương,401884.0,Right Defensive Midfield,54,Vietnam Women's,16769,['8f228db4-564f-44f7-a8c3-e7291388676a'],41,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:25:41.795,Pass,
,,,,,,,,,,,,,,1.22076,,,,,,,,,,,,,23b0bd61-8300-4353-896b-1b4fd1e0c8c2,1029,,,"[63.4, 73.3]",3893827,25,,,,-0.6202495,,Right Foot,,,"[81.6, 60.3]",,Ground Pass,,22.366045,,,,Thị Thanh Nhã Nguyễn,401885.0,,,,,,,1,From Goal Kick,Hải Yến Phạm,401890.0,Center Forward,54,Vietnam Women's,16769,['8a9b0230-c074-4166-88e4-dad8a8329cee'],43,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:25:43.218,Pass,
,,,,,,,,,,,,,,2.703097,,,,,,,,,,,,,116efcfd-152c-4f51-93da-76c63a4fcf85,1035,,,"[91.6, 80.0]",3893827,26,,,,-0.4804058,,,,,"[120.0, 65.2]",,High Pass,,32.02499,,Out,,Hải Yến Phạm,401890.0,,,,,,Throw-in,1,From Throw In,Bích Thùy Nguyễn Thị,401878.0,Right Wing,55,Vietnam Women's,16769,['53b04a08-eab8-40ba-9098-45136673f020'],10,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:26:10.940,Pass,
,,,,,,,,,,,,,,2.605166,,,,,,,,,,,,,7a059ff5-db5d-4884-b3f0-8b7b29a0dda3,1037,,,"[7.0, 44.1]",3893827,26,,,,0.6763435,,Right Foot,,,"[29.8, 62.4]",,Ground Pass,,29.235765,,,,Sherida Spitse,10645.0,,,,,,Goal Kick,1,From Goal Kick,Daphne van Domselaar,32339.0,Goalkeeper,56,Netherlands Women's,851,['ec72bb24-31d6-48cf-8b36-3f2de0a633e2'],24,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:26:24.166,Pass,
